,2023-06-30
TaxEffectOfUnusualItems,-1111087.092217
TaxRateForCalcs,0.308979
NormalizedEBITDA,142841000.0
TotalUnusualItems,-3596000.0
TotalUnusualItemsExcludingGoodwill,-3596000.0
NetIncomeFromContinuingOperationNetMinorityInterest,63103000.0
ReconciledDepreciation,21234000.0
ReconciledCostOfRevenue,177491000.0
EBITDA,139245000.0
EBIT,118011000.0
NetInterestIncome,-26694000.0
InterestExpense,26694000.0
NormalizedIncome,65587912.907783
NetIncomeFromContinuingAndDiscontinuedOperation,63103000.0
TotalExpenses,350093000.0
TotalOperatingIncomeAsReported,118011000.0
DilutedNIAvailtoComStockholders,63103000.0
NetIncomeCommonStockholders,63103000.0
NetIncome,63103000.0
NetIncomeIncludingNoncontrollingInterests,63102000.0
NetIncomeContinuousOperations,63102000.0
TaxProvision,28215000.0
PretaxIncome,91317000.0
OtherIncomeExpense,-5088000.0
OtherNonOperatingIncomeExpenses,-1492000.0
GainOnSaleOfSecurity,-3596000.0
NetNonOperatingInterestIncomeExpense,-26694000.0
InterestExpenseNonOperating,26694000.0
OperatingIncome,123101000.0
OperatingExpense,168965000.0
DepreciationAmortizationDepletionIncomeStatement,17597000.0
DepreciationAndAmortizationInIncomeStatement,17597000.0
SellingGeneralAndAdministration,151368000.0
SellingAndMarketingExpense,97227000.0
GeneralAndAdministrativeExpense,54141000.0
OtherGandA,4308000.0
InsuranceAndClaims,721000.0
SalariesAndWages,49112000.0
GrossProfit,292066000.0
CostOfRevenue,181128000.0
TotalRevenue,473195000.0
OperatingRevenue,473195000.0
