,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,-14448000.0
TaxRateForCalcs,0.269522,0.305,0.336
TotalUnusualItems,,,-43000000.0
TotalUnusualItemsExcludingGoodwill,,,-43000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,2155000000.0,1591000000.0,1089000000.0
NetInterestIncome,4061000000.0,4012000000.0,3545000000.0
InterestIncome,21378000000.0,4012000000.0,3545000000.0
NormalizedIncome,2155000000.0,1591000000.0,1117552000.0
NetIncomeFromContinuingAndDiscontinuedOperation,2155000000.0,1591000000.0,1089000000.0
DilutedAverageShares,,3618500000.0,3619144872.0
BasicAverageShares,,3618500000.0,3619144872.0
DilutedEPS,,0.439685,0.3009
BasicEPS,,0.439685,0.3009
DilutedNIAvailtoComStockholders,2155000000.0,1591000000.0,1089000000.0
NetIncomeCommonStockholders,2155000000.0,1591000000.0,1089000000.0
NetIncome,2155000000.0,1591000000.0,1089000000.0
MinorityInterests,-62000000.0,-38000000.0,-48000000.0
NetIncomeIncludingNoncontrollingInterests,2217000000.0,1629000000.0,1136000000.0
NetIncomeContinuousOperations,2217000000.0,1629000000.0,1136000000.0
TaxProvision,818000000.0,715000000.0,575000000.0
PretaxIncome,3035000000.0,2344000000.0,1711000000.0
SpecialIncomeCharges,,,-43000000.0
RestructuringAndMergernAcquisition,,,43000000.0
GainOnSaleOfSecurity,1431000000.0,15000000.0,15000000.0
TotalRevenue,5725000000.0,5567000000.0,4868000000.0
OperatingRevenue,5725000000.0,5567000000.0,4868000000.0
