,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,-85521.570306,0.0
TaxRateForCalcs,0.25,0.255,0.262,0.224466,0.218
NormalizedEBITDA,1853000000.0,1581000000.0,1462000000.0,1590224000.0,1597000000.0
TotalUnusualItems,0.0,0.0,0.0,-381000.0,0.0
TotalUnusualItemsExcludingGoodwill,0.0,0.0,0.0,-381000.0,0.0
NetIncomeFromContinuingOperationNetMinorityInterest,1191000000.0,989000000.0,891000000.0,1038381000.0,1063000000.0
ReconciledDepreciation,245000000.0,235000000.0,232000000.0,230919000.0,218000000.0
ReconciledCostOfRevenue,9139000000.0,8910000000.0,8374000000.0,10731681000.0,8624000000.0
EBITDA,1853000000.0,1581000000.0,1462000000.0,1589843000.0,1597000000.0
EBIT,1608000000.0,1346000000.0,1230000000.0,1358924000.0,1379000000.0
NetInterestIncome,41000000.0,38000000.0,37000000.0,24000000.0,1000000.0
InterestExpense,19000000.0,19000000.0,22000000.0,20000000.0,20000000.0
InterestIncome,60000000.0,57000000.0,59000000.0,44000000.0,21000000.0
NormalizedIncome,1191000000.0,989000000.0,891000000.0,1038676478.429694,1063000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,1191000000.0,989000000.0,891000000.0,1038381000.0,1063000000.0
TotalExpenses,11717000000.0,11469000000.0,10612000000.0,13204292000.0,10809000000.0
DilutedAverageShares,1158000000.0,1161000000.0,1165000000.0,1171000000.0,1172000000.0
BasicAverageShares,1144000000.0,1148000000.0,1153000000.0,1155437908.0,1161000000.0
DilutedEPS,1.03,0.85,0.76,0.89,0.91
BasicEPS,1.04,0.86,0.77,0.898361,0.92
DilutedNIAvailtoComStockholders,1191000000.0,989000000.0,891000000.0,1038381000.0,1063000000.0
NetIncomeCommonStockholders,1191000000.0,989000000.0,891000000.0,1038381000.0,1063000000.0
NetIncome,1191000000.0,989000000.0,891000000.0,1038381000.0,1063000000.0
NetIncomeIncludingNoncontrollingInterests,1191000000.0,989000000.0,891000000.0,1038381000.0,1063000000.0
NetIncomeContinuousOperations,1191000000.0,989000000.0,891000000.0,1038381000.0,1063000000.0
TaxProvision,398000000.0,338000000.0,317000000.0,300543000.0,296000000.0
PretaxIncome,1589000000.0,1327000000.0,1208000000.0,1338924000.0,1359000000.0
OtherIncomeExpense,,,,-381000.0,
SpecialIncomeCharges,0.0,0.0,0.0,-381000.0,0.0
WriteOff,0.0,0.0,0.0,381000.0,0.0
NetNonOperatingInterestIncomeExpense,41000000.0,38000000.0,37000000.0,24000000.0,1000000.0
InterestExpenseNonOperating,19000000.0,19000000.0,22000000.0,20000000.0,20000000.0
InterestIncomeNonOperating,60000000.0,57000000.0,59000000.0,44000000.0,21000000.0
OperatingIncome,1548000000.0,1289000000.0,1171000000.0,1315940000.0,1358000000.0
OperatingExpense,2578000000.0,2559000000.0,2238000000.0,2472611000.0,2185000000.0
SellingGeneralAndAdministration,2578000000.0,2559000000.0,2238000000.0,2472611000.0,2185000000.0
GrossProfit,4126000000.0,3848000000.0,3409000000.0,3788551000.0,3543000000.0
CostOfRevenue,9139000000.0,8910000000.0,8374000000.0,10731681000.0,8624000000.0
TotalRevenue,13265000000.0,12758000000.0,11783000000.0,14520232000.0,12167000000.0
OperatingRevenue,13265000000.0,12758000000.0,11783000000.0,14520232000.0,12167000000.0
