,2023-09-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,103997250000.0,-307313009469.9112
TaxRateForCalcs,0.35,0.35,0.280222
NormalizedEBITDA,11816000000000.0,17779881000000.0,16357676000000.0
TotalUnusualItems,,297135000000.0,-1096676000000.0
TotalUnusualItemsExcludingGoodwill,,297135000000.0,-1096676000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,5086000000000.0,5660425000000.0,6833872000000.0
ReconciledDepreciation,,3162768000000.0,3372165000000.0
ReconciledCostOfRevenue,20605000000000.0,19768737000000.0,20958096000000.0
EBITDA,11816000000000.0,18077016000000.0,15261000000000.0
EBIT,11816000000000.0,14914248000000.0,11888835000000.0
NetInterestIncome,-630000000000.0,-1802824000000.0,-1754820000000.0
InterestExpense,,2357367000000.0,2075649000000.0
InterestIncome,,553488000000.0,353038000000.0
NormalizedIncome,5086000000000.0,5467287250000.0,7623234990530.089
NetIncomeFromContinuingAndDiscontinuedOperation,5086000000000.0,5660425000000.0,6833872000000.0
TotalExpenses,23314000000000.0,25132708000000.0,27159344000000.0
TotalOperatingIncomeAsReported,11816000000000.0,13720779000000.0,11775537000000.0
DilutedAverageShares,2055834735.0,2055834734.0,2055834735.0
BasicAverageShares,2055834735.0,2055834734.0,2055834735.0
DilutedEPS,2473.934268,27.54,3332.466313
BasicEPS,2473.934268,27.54,3332.466313
DilutedNIAvailtoComStockholders,5086000000000.0,5660425000000.0,6833872000000.0
NetIncomeCommonStockholders,5086000000000.0,5660425000000.0,6833872000000.0
NetIncome,5086000000000.0,5660425000000.0,6833872000000.0
MinorityInterests,-902000000000.0,-1303555000000.0,-834783000000.0
NetIncomeIncludingNoncontrollingInterests,5988000000000.0,6963980000000.0,7668655000000.0
NetIncomeContinuousOperations,5988000000000.0,6963980000000.0,7668655000000.0
TaxProvision,5307000000000.0,5592901000000.0,2749873000000.0
PretaxIncome,11295000000000.0,12556881000000.0,9813186000000.0
OtherIncomeExpense,109000000000.0,638834000000.0,-984934000000.0
SpecialIncomeCharges,,-92000000.0,-1382745000000.0
GainOnSaleOfPPE,,,-125263000000.0
OtherSpecialCharges,,,826694000000.0
WriteOff,,,150397000000.0
ImpairmentOfCapitalAssets,,92000000.0,280391000000.0
EarningsFromEquityInterest,109000000000.0,341699000000.0,111742000000.0
GainOnSaleOfSecurity,,297227000000.0,286069000000.0
NetNonOperatingInterestIncomeExpense,-630000000000.0,-1802824000000.0,-1754820000000.0
TotalOtherFinanceCost,630000000000.0,-1055000000.0,32209000000.0
InterestExpenseNonOperating,,2357367000000.0,2075649000000.0
InterestIncomeNonOperating,,553488000000.0,353038000000.0
OperatingIncome,11816000000000.0,13720871000000.0,12552940000000.0
OperatingExpense,2709000000000.0,2354561000000.0,3159437000000.0
OtherOperatingExpenses,2709000000000.0,908040000000.0,1205000000000.0
OtherTaxes,,241811000000.0,225044000000.0
DepreciationAmortizationDepletionIncomeStatement,,153358000000.0,330354000000.0
DepreciationAndAmortizationInIncomeStatement,,153358000000.0,330354000000.0
DepreciationIncomeStatement,,,330354000000.0
SellingGeneralAndAdministration,,1019815000000.0,1319096000000.0
GeneralAndAdministrativeExpense,,1019815000000.0,1319096000000.0
OtherGandA,,466442000000.0,770800000000.0
SalariesAndWages,,553373000000.0,548296000000.0
GrossProfit,14525000000000.0,16075432000000.0,15712377000000.0
CostOfRevenue,20605000000000.0,22778147000000.0,23999907000000.0
TotalRevenue,35130000000000.0,38853579000000.0,39712284000000.0
OperatingRevenue,35130000000000.0,38853579000000.0,39712284000000.0
