,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.23,0.091238,0.27,0.24907,0.25
NormalizedEBITDA,-3815000.0,6121000.0,3012000.0,18743000.0,238000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-10466000.0,-2004000.0,-3869000.0,7447000.0,-6217000.0
ReconciledDepreciation,8566000.0,7455000.0,7413000.0,7864000.0,7572000.0
ReconciledCostOfRevenue,68806000.0,67616000.0,58108000.0,117923000.0,70205000.0
EBITDA,-3815000.0,6121000.0,3012000.0,18743000.0,238000.0
EBIT,-12381000.0,-1334000.0,-4401000.0,10879000.0,-7334000.0
NetInterestIncome,-1219000.0,-880000.0,-934000.0,-930000.0,-968000.0
InterestExpense,1219000.0,880000.0,934000.0,930000.0,968000.0
NormalizedIncome,-10466000.0,-2004000.0,-3869000.0,7447000.0,-6217000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-10466000.0,-2004000.0,-3869000.0,7447000.0,-6217000.0
TotalExpenses,150638000.0,140542000.0,128308000.0,231083000.0,154516000.0
TotalOperatingIncomeAsReported,-12428000.0,-1443000.0,-4549000.0,10683000.0,-7390000.0
DilutedAverageShares,32987000.0,32952000.0,32865000.0,32811000.0,32792000.0
BasicAverageShares,32987000.0,32952000.0,32865000.0,32811000.0,32792000.0
DilutedEPS,-0.32,-0.06,-0.12,0.23,-0.19
BasicEPS,-0.32,-0.06,-0.12,0.23,-0.19
DilutedNIAvailtoComStockholders,-10466000.0,-2004000.0,-3869000.0,7447000.0,-6217000.0
NetIncomeCommonStockholders,-10466000.0,-2004000.0,-3869000.0,7447000.0,-6217000.0
NetIncome,-10466000.0,-2004000.0,-3869000.0,7447000.0,-6217000.0
MinorityInterests,8000.0,8000.0,8000.0,-24000.0,26000.0
NetIncomeIncludingNoncontrollingInterests,-10474000.0,-2012000.0,-3877000.0,7471000.0,-6243000.0
NetIncomeContinuousOperations,-10474000.0,-2012000.0,-3877000.0,7471000.0,-6243000.0
TaxProvision,-3126000.0,-202000.0,-1458000.0,2478000.0,-2059000.0
PretaxIncome,-13600000.0,-2214000.0,-5335000.0,9949000.0,-8302000.0
OtherIncomeExpense,47000.0,109000.0,148000.0,196000.0,56000.0
OtherNonOperatingIncomeExpenses,47000.0,109000.0,148000.0,196000.0,56000.0
NetNonOperatingInterestIncomeExpense,-1219000.0,-880000.0,-934000.0,-930000.0,-968000.0
InterestExpenseNonOperating,1219000.0,880000.0,934000.0,930000.0,968000.0
OperatingIncome,-12428000.0,-1443000.0,-4549000.0,10683000.0,-7390000.0
OperatingExpense,81832000.0,72926000.0,70200000.0,113160000.0,84311000.0
SellingGeneralAndAdministration,81832000.0,72926000.0,70200000.0,113160000.0,84311000.0
GrossProfit,69404000.0,71483000.0,65651000.0,123843000.0,76921000.0
CostOfRevenue,68806000.0,67616000.0,58108000.0,117923000.0,70205000.0
TotalRevenue,138210000.0,139099000.0,123759000.0,241766000.0,147126000.0
OperatingRevenue,138210000.0,139099000.0,123759000.0,241766000.0,147126000.0
