,2023-09-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-58970.776575,5038322.112895,3383975.56391
TaxRateForCalcs,0.117942,0.214397,0.050282
NormalizedEBITDA,1705100000.0,75500000.0,364100000.0
TotalUnusualItems,-500000.0,23500000.0,67300000.0
TotalUnusualItemsExcludingGoodwill,-500000.0,23500000.0,67300000.0
NetIncomeFromContinuingOperationNetMinorityInterest,1515200000.0,-151700000.0,202100000.0
ReconciledDepreciation,,257400000.0,212700000.0
ReconciledCostOfRevenue,2982100000.0,1818400000.0,2000600000.0
EBITDA,1704600000.0,99000000.0,431400000.0
EBIT,1704600000.0,-158400000.0,218700000.0
NetInterestIncome,13700000.0,7700000.0,-5900000.0
InterestExpense,,34700000.0,5900000.0
InterestIncome,13700000.0,,
NormalizedIncome,1515641029.223425,-170161677.887105,138183975.56391
NetIncomeFromContinuingAndDiscontinuedOperation,1515200000.0,-151700000.0,202100000.0
TotalExpenses,3221300000.0,2071300000.0,2160700000.0
TotalOperatingIncomeAsReported,1704600000.0,-224300000.0,151400000.0
DilutedAverageShares,228900000.0,,227940000.0
BasicAverageShares,227780000.0,,227600000.0
DilutedEPS,6.6195,,0.8865
BasicEPS,6.652,,0.888
DilutedNIAvailtoComStockholders,1515200000.0,-151700000.0,202100000.0
NetIncomeCommonStockholders,1515200000.0,-151700000.0,202100000.0
NetIncome,1515200000.0,-151700000.0,202100000.0
NetIncomeIncludingNoncontrollingInterests,1515200000.0,-151700000.0,202100000.0
NetIncomeContinuousOperations,1515200000.0,-151700000.0,202100000.0
TaxProvision,202600000.0,-41400000.0,10700000.0
PretaxIncome,1717800000.0,-193100000.0,212800000.0
OtherIncomeExpense,-500000.0,23500000.0,67300000.0
GainOnSaleOfSecurity,-500000.0,23500000.0,67300000.0
NetNonOperatingInterestIncomeExpense,13700000.0,7700000.0,-5900000.0
InterestExpenseNonOperating,,34700000.0,5900000.0
InterestIncomeNonOperating,13700000.0,,
OperatingIncome,1704600000.0,-224300000.0,151400000.0
OperatingExpense,239200000.0,252900000.0,160100000.0
SellingGeneralAndAdministration,239200000.0,252900000.0,160100000.0
SellingAndMarketingExpense,239200000.0,146900000.0,160100000.0
GrossProfit,1943800000.0,28600000.0,311500000.0
CostOfRevenue,2982100000.0,1818400000.0,2000600000.0
TotalRevenue,4925900000.0,1847000000.0,2312100000.0
OperatingRevenue,4925900000.0,1847000000.0,2312100000.0
