,2023-09-30,2023-06-30,2022-12-31
TaxEffectOfUnusualItems,-678820.528784,0.0,0.0
TaxRateForCalcs,0.056031,0.139853,0.245669
NormalizedEBITDA,262638000.0,252845000.0,95922000.0
TotalUnusualItems,-12115000.0,,
TotalUnusualItemsExcludingGoodwill,-12115000.0,,
NetIncomeFromContinuingOperationNetMinorityInterest,59543000.0,60035000.0,20070000.0
ReconciledCostOfRevenue,965649000.0,1043394000.0,1113636000.0
EBITDA,250523000.0,252845000.0,95922000.0
EBIT,250523000.0,252845000.0,95922000.0
NetInterestIncome,-150936000.0,-139376000.0,-149082000.0
InterestExpense,150936000.0,139376000.0,49046000.0
NormalizedIncome,70979179.471216,60035000.0,20070000.0
NetIncomeFromContinuingAndDiscontinuedOperation,59543000.0,60035000.0,20070000.0
TotalExpenses,1342298000.0,1422835000.0,1546542000.0
TotalOperatingIncomeAsReported,250588000.0,253646000.0,176946000.0
DilutedEPS,0.087768,0.088494,
BasicEPS,0.087768,0.088494,
DilutedNIAvailtoComStockholders,59543000.0,60035000.0,20070000.0
NetIncomeCommonStockholders,59543000.0,60035000.0,20070000.0
NetIncome,59543000.0,60035000.0,20070000.0
MinorityInterests,-34464000.0,-37564000.0,-15290000.0
NetIncomeIncludingNoncontrollingInterests,94007000.0,97600000.0,35360000.0
NetIncomeContinuousOperations,94007000.0,97600000.0,35360000.0
TaxProvision,5580000.0,15869000.0,11516000.0
PretaxIncome,99587000.0,113469000.0,46876000.0
OtherIncomeExpense,-4661000.0,12221000.0,29755000.0
SpecialIncomeCharges,-12115000.0,,
OtherSpecialCharges,12115000.0,,
EarningsFromEquityInterest,7454000.0,12221000.0,10031000.0
NetNonOperatingInterestIncomeExpense,-150936000.0,-139376000.0,-149082000.0
InterestExpenseNonOperating,150936000.0,139376000.0,49046000.0
OperatingIncome,255184000.0,240623000.0,166203000.0
OperatingExpense,376649000.0,379441000.0,432906000.0
OtherOperatingExpenses,,,-3049000.0
ResearchAndDevelopment,87679000.0,87322000.0,106244000.0
SellingGeneralAndAdministration,288970000.0,292119000.0,329711000.0
GrossProfit,631833000.0,620064000.0,599109000.0
CostOfRevenue,965649000.0,1043394000.0,1113636000.0
TotalRevenue,1597482000.0,1663458000.0,1712745000.0
OperatingRevenue,1597482000.0,1663458000.0,1712745000.0
