,2023-09-30,2023-06-30,2023-03-31
TaxEffectOfUnusualItems,-6011524.314766,1003590.0,1557990.0
TaxRateForCalcs,0.351901,0.21,0.21
NormalizedEBITDA,35000000.0,31516000.0,4790000.0
TotalUnusualItems,-17083000.0,4779000.0,7419000.0
TotalUnusualItemsExcludingGoodwill,-17083000.0,4779000.0,7419000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-1466000.0,9620000.0,-47815000.0
ReconciledDepreciation,19013000.0,18748000.0,18472000.0
ReconciledCostOfRevenue,34150000.0,32983000.0,32807000.0
EBITDA,17917000.0,36295000.0,12209000.0
EBIT,-1096000.0,17547000.0,-6263000.0
NetInterestIncome,-1166000.0,-1115000.0,-1181000.0
InterestExpense,1166000.0,1115000.0,1181000.0
NormalizedIncome,9605475.685234,5844590.0,-53676010.0
NetIncomeFromContinuingAndDiscontinuedOperation,-1466000.0,9620000.0,-47815000.0
TotalExpenses,39116000.0,38872000.0,71641000.0
RentExpenseSupplemental,,9316000.0,9080000.0
TotalOperatingIncomeAsReported,15938000.0,12716000.0,-13680000.0
DilutedAverageShares,29659763.0,33077824.0,29663644.0
BasicAverageShares,29659763.0,29659771.0,29663644.0
DilutedEPS,-0.05,0.29,-1.67
BasicEPS,-0.05,0.29,-1.67
DilutedNIAvailtoComStockholders,-1466000.0,9620000.0,-49647000.0
AverageDilutionEarnings,0.0,932000.0,
NetIncomeCommonStockholders,-1466000.0,8688000.0,-49647000.0
OtherunderPreferredStockDividend,0.0,932000.0,1832000.0
NetIncome,-1466000.0,9620000.0,-47815000.0
NetIncomeIncludingNoncontrollingInterests,-1466000.0,9620000.0,-47815000.0
NetIncomeContinuousOperations,-1466000.0,9620000.0,-47815000.0
TaxProvision,-796000.0,6812000.0,40371000.0
PretaxIncome,-2262000.0,16432000.0,-7444000.0
OtherIncomeExpense,-17034000.0,4831000.0,7417000.0
OtherNonOperatingIncomeExpenses,49000.0,52000.0,-2000.0
GainOnSaleOfSecurity,-17083000.0,4779000.0,7419000.0
NetNonOperatingInterestIncomeExpense,-1166000.0,-1115000.0,-1181000.0
InterestExpenseNonOperating,1166000.0,1115000.0,1181000.0
OperatingIncome,15938000.0,12716000.0,-13680000.0
OperatingExpense,4966000.0,5889000.0,38834000.0
SellingGeneralAndAdministration,4966000.0,5889000.0,38834000.0
GeneralAndAdministrativeExpense,4966000.0,5889000.0,38834000.0
OtherGandA,3820000.0,4461000.0,10862000.0
RentAndLandingFees,,9316000.0,9080000.0
SalariesAndWages,1146000.0,1428000.0,27972000.0
GrossProfit,20904000.0,18605000.0,25154000.0
CostOfRevenue,34150000.0,32983000.0,32807000.0
TotalRevenue,55054000.0,51588000.0,57961000.0
OperatingRevenue,55054000.0,51588000.0,57961000.0
