,2023-09-30,2023-06-30,2022-12-31
TaxEffectOfUnusualItems,79001.665385,-84340.59057,-27884567.25
TaxRateForCalcs,0.216101,0.319671,0.25
NormalizedEBITDA,178383327.0,221229907.0,124095928.0
TotalUnusualItems,365577.0,-263836.0,-111538269.0
TotalUnusualItemsExcludingGoodwill,365577.0,-263836.0,-111538269.0
NetIncomeFromContinuingOperationNetMinorityInterest,117620283.0,124346616.0,26912872.0
ReconciledDepreciation,25147034.0,35745507.0,7943377.0
ReconciledCostOfRevenue,247784689.0,244907139.0,-214103400.0
EBITDA,178748904.0,220966071.0,12557659.0
EBIT,153601870.0,185220564.0,4614282.0
NetInterestIncome,9921547.0,5881868.0,6057133.0
InterestExpense,3740491.0,3868469.0,2357548.0
InterestIncome,13662038.0,9750337.0,8414681.0
NormalizedIncome,117333707.665385,124526111.40943,110566573.75
NetIncomeFromContinuingAndDiscontinuedOperation,117620283.0,124346616.0,26912872.0
TotalExpenses,323089935.0,316374598.0,-290315123.0
TotalOperatingIncomeAsReported,137794257.0,98614974.0,27466264.0
DilutedAverageShares,102178955.0,102178955.0,
BasicAverageShares,102178955.0,102178955.0,
DilutedEPS,1.15,1.22,
BasicEPS,1.15,1.22,
DilutedNIAvailtoComStockholders,117620283.0,124346616.0,26912872.0
NetIncomeCommonStockholders,117620283.0,124346616.0,26912872.0
NetIncome,117620283.0,124346616.0,26912872.0
MinorityInterests,227170.0,1308704.0,-4789717.0
NetIncomeIncludingNoncontrollingInterests,117393113.0,123037912.0,31702589.0
NetIncomeContinuousOperations,117393113.0,123037912.0,31702589.0
EarningsFromEquityInterestNetOfTax,-83027.0,-341265.0,-2018324.0
TaxProvision,32385239.0,57972918.0,-31464179.0
PretaxIncome,149861379.0,181352095.0,2256734.0
OtherIncomeExpense,2145575.0,76855253.0,-122503143.0
OtherNonOperatingIncomeExpenses,1779998.0,77119089.0,-10964874.0
GainOnSaleOfSecurity,365577.0,-263836.0,-20301789.0
NetNonOperatingInterestIncomeExpense,9921547.0,5881868.0,6057133.0
InterestExpenseNonOperating,3740491.0,3868469.0,2357548.0
InterestIncomeNonOperating,13662038.0,9750337.0,8414681.0
OperatingIncome,137794257.0,98614974.0,118702744.0
OperatingExpense,75305246.0,71467459.0,-76211723.0
OtherOperatingExpenses,-834853.0,-5169663.0,-4459066.0
SellingGeneralAndAdministration,76140099.0,76637122.0,-71752657.0
SellingAndMarketingExpense,26303310.0,18208671.0,-19619034.0
GeneralAndAdministrativeExpense,49836789.0,58428451.0,-52133623.0
OtherGandA,49836789.0,58428451.0,-52133623.0
GrossProfit,213099503.0,170082433.0,42491021.0
CostOfRevenue,247784689.0,244907139.0,-214103400.0
TotalRevenue,460884192.0,414989572.0,-171612379.0
OperatingRevenue,460884192.0,414989572.0,-187466364.0
