c,h,l,n,o,t,v,vw
11.52,11.52,11.26,12,11.26,2022-01-18T14:30:00Z,1338,11.312732
11.3791,11.3791,11.3791,16,11.3791,2022-01-18T14:50:00Z,180,11.351441
11.27,11.27,11.27,7,11.27,2022-01-18T14:55:00Z,158,11.241266
11.26,11.26,11.16,16,11.16,2022-01-18T15:00:00Z,757,11.210211
11.11,11.11,11.11,14,11.11,2022-01-18T15:10:00Z,256,11.174414
11.14,11.16,11.1,27,11.11,2022-01-18T15:15:00Z,2947,11.122613
11.07,11.07,11.07,6,11.07,2022-01-18T15:20:00Z,275,11.050873
10.8657,11.0,10.8657,20,11.0,2022-01-18T15:30:00Z,752,10.973573
10.84,10.84,10.84,5,10.84,2022-01-18T16:20:00Z,208,10.840192
10.845,10.845,10.845,4,10.845,2022-01-18T16:25:00Z,107,10.845327
10.81,10.85,10.81,10,10.85,2022-01-18T16:45:00Z,527,10.84241
10.87,10.9,10.85,53,10.85,2022-01-18T16:50:00Z,1660,10.894916
10.89,10.89,10.89,4,10.89,2022-01-18T16:55:00Z,108,10.888704
10.875,10.89,10.85,31,10.89,2022-01-18T17:00:00Z,849,10.865277
10.81,10.81,10.81,8,10.81,2022-01-18T17:10:00Z,358,10.815475
10.87,10.87,10.87,4,10.87,2022-01-18T17:20:00Z,107,10.867009
10.79,10.79,10.79,7,10.79,2022-01-18T17:35:00Z,128,10.79
10.79,10.79,10.79,7,10.79,2022-01-18T17:45:00Z,157,10.792518
10.775,10.78,10.775,10,10.775,2022-01-18T17:50:00Z,312,10.776795
10.775,10.775,10.775,5,10.775,2022-01-18T17:55:00Z,112,10.77442
10.9,10.9,10.76,75,10.76,2022-01-18T18:00:00Z,2535,10.784509
10.98,11.0,10.83,32,10.83,2022-01-18T18:05:00Z,12905,10.845518
10.94,10.965,10.94,5,10.965,2022-01-18T18:10:00Z,413,10.946053
10.9033,10.9033,10.9033,3,10.9033,2022-01-18T18:15:00Z,185,10.917186
10.93,10.93,10.93,8,10.93,2022-01-18T18:20:00Z,261,10.930192
10.97,10.97,10.97,15,10.97,2022-01-18T18:25:00Z,490,10.973327
10.985,10.985,10.985,5,10.985,2022-01-18T18:30:00Z,108,10.984907
11.02,11.03,10.97,68,10.97,2022-01-18T18:40:00Z,2022,11.012845
11.0,11.0,11.0,6,11.0,2022-01-18T18:50:00Z,167,11.000299
10.985,10.985,10.985,18,10.985,2022-01-18T18:55:00Z,234,10.992286
11.06,11.06,11.06,7,11.06,2022-01-18T19:10:00Z,268,11.047015
11.0,11.08,10.895,85,10.99,2022-01-18T19:20:00Z,30359,10.992021
11.03,11.08,10.93,65,10.965,2022-01-18T19:25:00Z,31181,11.003338
10.9,11.09,10.9,45,11.09,2022-01-18T19:30:00Z,4217,10.986855
11.0264,11.0264,10.95,20,10.95,2022-01-18T19:35:00Z,1438,10.981606
11.07,11.07,11.0,15,11.0,2022-01-18T19:45:00Z,484,11.043492
11.07,11.07,11.07,4,11.07,2022-01-18T19:50:00Z,195,11.084821
11.01,11.14,11.01,12,11.07,2022-01-18T19:55:00Z,495,11.083656
10.995,10.995,10.995,9,10.995,2022-01-18T20:00:00Z,301,10.994236
11.0,11.02,11.0,15,11.0,2022-01-18T20:05:00Z,434,11.00659
11.0,11.015,11.0,43,11.0,2022-01-18T20:10:00Z,1125,11.007369
10.885,11.02,10.885,96,10.995,2022-01-18T20:15:00Z,2345,10.972883
10.93,10.93,10.93,5,10.93,2022-01-18T20:20:00Z,121,10.93
10.905,10.94,10.905,9,10.94,2022-01-18T20:25:00Z,323,10.9287
10.995,11.04,10.91,104,10.91,2022-01-18T20:30:00Z,4032,10.963776
10.95,10.995,10.95,29,10.995,2022-01-18T20:35:00Z,771,10.958346
10.96,11.0,10.88,101,10.925,2022-01-18T20:40:00Z,5129,10.920065
10.8,10.935,10.8,81,10.935,2022-01-18T20:45:00Z,2706,10.885146
10.785,10.93,10.785,55,10.93,2022-01-18T20:50:00Z,1499,10.844303
10.9,10.93,10.77,219,10.84,2022-01-18T20:55:00Z,10093,10.869896
10.86,10.86,10.86,6,10.86,2022-01-18T21:00:00Z,28912,10.860315
11.15,11.19,10.86,25,11.07,2022-01-19T14:30:00Z,2924,11.106772
10.82,10.86,10.66,33,10.86,2022-01-19T14:50:00Z,2056,10.810637
11.06,11.06,10.84,37,10.84,2022-01-19T14:55:00Z,1587,10.933995
11.19,11.19,11.0,10,11.0,2022-01-19T15:00:00Z,1063,11.064788
11.04,11.04,11.04,1,11.04,2022-01-19T15:10:00Z,100,11.04
11.04,11.04,11.04,1,11.04,2022-01-19T15:15:00Z,100,11.04
10.965,11.03,10.965,88,11.03,2022-01-19T15:20:00Z,1346,11.008812
10.87,10.94,10.87,51,10.905,2022-01-19T15:30:00Z,1787,10.919706
10.87,11.07,10.87,55,10.97,2022-01-19T15:35:00Z,3764,10.982893
10.99,10.99,10.97,34,10.97,2022-01-19T15:50:00Z,373,10.979276
10.95,11.12,10.95,29,10.99,2022-01-19T16:30:00Z,1231,11.035825
11.0,11.0,11.0,1,11.0,2022-01-19T16:35:00Z,100,11.0
11.12,11.13,11.12,4,11.12,2022-01-19T16:50:00Z,400,11.1225
11.19,11.19,11.19,1,11.19,2022-01-19T16:55:00Z,100,11.19
11.18,11.18,11.01,11,11.01,2022-01-19T17:05:00Z,452,11.12146
11.28,11.28,11.18,33,11.18,2022-01-19T17:10:00Z,888,11.226813
11.4,11.4,11.4,2,11.4,2022-01-19T17:15:00Z,101,11.39901
11.41,11.41,11.305,28,11.39,2022-01-19T17:25:00Z,1102,11.388775
11.48,11.48,11.48,9,11.48,2022-01-19T17:30:00Z,117,11.472009
11.31,11.425,11.31,34,11.425,2022-01-19T17:40:00Z,1448,11.356423
11.31,11.31,11.31,6,11.31,2022-01-19T17:45:00Z,261,11.290046
11.42,11.42,11.3,3,11.3,2022-01-19T17:50:00Z,202,11.36104
11.435,11.435,11.435,1,11.435,2022-01-19T18:00:00Z,100,11.435
11.37,11.37,11.37,10,11.37,2022-01-19T18:05:00Z,602,11.37
11.22,11.41,11.22,6,11.41,2022-01-19T18:15:00Z,334,11.28491
11.195,11.305,11.195,23,11.305,2022-01-19T18:20:00Z,882,11.222574
11.09,11.18,11.09,8,11.18,2022-01-19T18:35:00Z,406,11.123202
11.08,11.08,11.08,3,11.08,2022-01-19T18:40:00Z,132,11.077576
10.965,10.965,10.965,4,10.965,2022-01-19T18:45:00Z,205,11.046878
11.14,11.14,11.03,6,11.03,2022-01-19T18:50:00Z,300,11.056667
11.12,11.12,11.12,13,11.12,2022-01-19T19:05:00Z,528,11.123409
11.06,11.06,11.06,6,11.06,2022-01-19T19:10:00Z,208,11.028413
11.065,11.065,11.065,5,11.065,2022-01-19T19:35:00Z,133,11.064436
11.11,11.11,11.06,26,11.06,2022-01-19T19:40:00Z,514,11.096206
11.19,11.21,11.19,12,11.21,2022-01-19T19:45:00Z,567,11.199189
11.2,11.2,11.2,1,11.2,2022-01-19T19:50:00Z,100,11.2
11.24,11.24,11.21,36,11.21,2022-01-19T19:55:00Z,839,11.216907
11.24,11.24,11.24,6,11.24,2022-01-19T20:00:00Z,141,11.231702
11.23,11.24,11.23,18,11.24,2022-01-19T20:05:00Z,530,11.217811
11.18,11.18,11.06,13,11.14,2022-01-19T20:15:00Z,334,11.127066
11.055,11.055,11.055,3,11.055,2022-01-19T20:20:00Z,108,11.0575
11.05,11.05,11.05,17,11.05,2022-01-19T20:30:00Z,283,11.034346
11.05,11.05,11.05,19,11.05,2022-01-19T20:35:00Z,402,11.024975
11.04,11.04,10.995,23,10.995,2022-01-19T20:40:00Z,423,11.020603
11.025,11.025,11.02,68,11.02,2022-01-19T20:45:00Z,988,11.025536
11.02,11.02,10.98,72,11.01,2022-01-19T20:50:00Z,1494,11.005542
11.13,11.13,10.98,273,11.015,2022-01-19T20:55:00Z,7917,11.065251
11.07,11.07,11.07,6,11.07,2022-01-19T21:00:00Z,19683,11.07
11.16,11.2,11.16,70,11.19,2022-01-20T14:30:00Z,901,11.313152
11.17,11.17,11.16,7,11.16,2022-01-20T14:35:00Z,409,11.165672
11.0,11.14,10.96,13,11.14,2022-01-20T14:40:00Z,343,11.058309
11.0,11.0,11.0,6,11.0,2022-01-20T14:45:00Z,307,11.001824
10.99,11.0,10.97,67,11.0,2022-01-20T14:50:00Z,1967,10.992171
11.0,11.01,11.0,17,11.01,2022-01-20T14:55:00Z,685,11.011256
11.01,11.05,11.01,24,11.04,2022-01-20T15:00:00Z,836,11.023869
11.22,11.22,11.05,29,11.05,2022-01-20T15:05:00Z,1420,11.093493
11.025,11.07,11.025,22,11.06,2022-01-20T15:10:00Z,816,11.056458
11.02,11.02,11.02,2,11.02,2022-01-20T15:15:00Z,198,11.024949
11.04,11.04,11.01,12,11.01,2022-01-20T15:20:00Z,741,11.036221
11.22,11.22,11.12,24,11.12,2022-01-20T15:30:00Z,1094,11.138186
11.12,11.14,11.12,7,11.14,2022-01-20T15:35:00Z,336,11.124315
11.07,11.13,11.07,9,11.13,2022-01-20T15:45:00Z,370,11.11
11.25,11.25,11.07,49,11.07,2022-01-20T15:50:00Z,1956,11.193676
11.29,11.29,11.27,15,11.27,2022-01-20T16:00:00Z,691,11.275658
11.35,11.35,11.29,25,11.3,2022-01-20T16:05:00Z,1305,11.32223
11.33,11.33,11.32,13,11.3201,2022-01-20T16:10:00Z,840,11.319071
11.11,11.27,11.11,51,11.27,2022-01-20T16:15:00Z,1875,11.196768
11.05,11.05,11.05,6,11.05,2022-01-20T16:20:00Z,195,11.05
11.0,11.0,11.0,2,11.0,2022-01-20T16:25:00Z,200,11.0
11.02,11.02,11.02,2,11.02,2022-01-20T16:30:00Z,110,11.02
11.055,11.055,11.055,5,11.055,2022-01-20T16:35:00Z,210,11.031476
11.02,11.02,11.02,3,11.02,2022-01-20T16:40:00Z,220,11.02
11.02,11.02,11.02,1,11.02,2022-01-20T16:45:00Z,100,11.02
11.08,11.08,11.02,93,11.055,2022-01-20T16:50:00Z,2446,11.058001
11.1,11.1,11.1,2,11.1,2022-01-20T16:55:00Z,105,11.098238
11.05,11.05,11.04,62,11.05,2022-01-20T17:00:00Z,1551,11.035816
11.0,11.04,11.0,5,11.04,2022-01-20T17:15:00Z,295,11.016102
10.98,11.05,10.96,26,11.0,2022-01-20T17:20:00Z,1414,10.990395
10.925,10.925,10.925,3,10.925,2022-01-20T17:25:00Z,210,10.92381
10.98,10.98,10.96,17,10.97,2022-01-20T17:30:00Z,1079,10.978804
10.99,11.0,10.99,29,11.0,2022-01-20T17:35:00Z,658,10.994043
10.975,10.975,10.975,3,10.975,2022-01-20T17:40:00Z,152,10.980132
10.965,10.99,10.935,19,10.98,2022-01-20T17:45:00Z,965,10.958498
10.99,10.99,10.94,113,10.96,2022-01-20T17:50:00Z,2470,10.972927
11.01,11.01,10.99,3,10.99,2022-01-20T18:05:00Z,210,10.999524
11.0,11.0,11.0,11,11.0,2022-01-20T18:10:00Z,381,11.000892
11.03,11.03,10.96,56,11.01,2022-01-20T18:20:00Z,1635,10.993884
11.06,11.11,10.98,153,11.0,2022-01-20T18:25:00Z,3820,11.018726
10.99,11.01,10.99,18,11.01,2022-01-20T18:30:00Z,1045,10.991732
10.99,11.04,10.99,3,11.04,2022-01-20T18:40:00Z,300,11.023333
10.96,11.0,10.96,3,11.0,2022-01-20T18:50:00Z,210,10.978571
11.01,11.01,10.96,31,10.98,2022-01-20T18:55:00Z,1946,10.994265
10.99,11.05,10.99,34,11.05,2022-01-20T19:00:00Z,2557,10.999433
10.99,11.01,10.99,50,11.01,2022-01-20T19:05:00Z,1584,10.994811
10.99,11.0,10.98,148,10.99,2022-01-20T19:10:00Z,6029,10.992862
10.96,11.04,10.96,276,10.99,2022-01-20T19:15:00Z,8112,10.996388
11.0,11.0,10.985,31,10.985,2022-01-20T19:20:00Z,1434,10.993354
11.0,11.015,10.99,5,11.015,2022-01-20T19:30:00Z,321,11.000903
10.95,11.02,10.95,94,11.0,2022-01-20T19:40:00Z,2118,10.981945
10.94,10.94,10.9,28,10.9,2022-01-20T19:45:00Z,945,10.935323
10.96,10.96,10.895,26,10.92,2022-01-20T19:50:00Z,1963,10.927896
10.855,10.86,10.855,66,10.86,2022-01-20T20:00:00Z,607,10.856804
10.81,10.81,10.81,6,10.81,2022-01-20T20:05:00Z,124,10.813387
10.82,10.82,10.81,52,10.815,2022-01-20T20:10:00Z,1109,10.818584
10.84,10.84,10.84,2,10.84,2022-01-20T20:15:00Z,200,10.84
10.75,10.87,10.75,58,10.84,2022-01-20T20:20:00Z,3217,10.824268
10.82,10.82,10.81,13,10.81,2022-01-20T20:30:00Z,462,10.801115
10.74,10.74,10.74,6,10.74,2022-01-20T20:35:00Z,166,10.756265
10.73,10.75,10.72,44,10.73,2022-01-20T20:40:00Z,2465,10.72932
10.73,10.74,10.72,23,10.73,2022-01-20T20:45:00Z,1382,10.730448
10.72,10.74,10.71,117,10.73,2022-01-20T20:50:00Z,6477,10.725583
10.81,10.82,10.72,182,10.72,2022-01-20T20:55:00Z,10470,10.766664
10.75,10.75,10.75,6,10.75,2022-01-20T21:00:00Z,18664,10.75
10.725,10.725,10.54,108,10.55,2022-01-21T14:30:00Z,14030,10.555278
10.9,10.9,10.735,12,10.735,2022-01-21T14:35:00Z,809,10.847954
10.9,10.9,10.9,12,10.9,2022-01-21T14:40:00Z,625,10.9
11.0,11.05,10.9,93,10.9,2022-01-21T14:45:00Z,3850,10.995732
10.9,11.0,10.9,31,11.0,2022-01-21T14:50:00Z,1747,10.967156
10.94,10.94,10.88,13,10.94,2022-01-21T14:55:00Z,514,10.924903
10.89,10.89,10.855,21,10.855,2022-01-21T15:00:00Z,647,10.885039
10.93,10.93,10.93,25,10.93,2022-01-21T15:05:00Z,1043,10.928686
10.92,10.92,10.76,3,10.76,2022-01-21T15:10:00Z,325,10.821538
10.77,10.77,10.77,2,10.77,2022-01-21T15:15:00Z,107,10.77
10.79,10.83,10.77,15,10.77,2022-01-21T15:20:00Z,588,10.806582
10.9,10.9,10.86,52,10.86,2022-01-21T15:25:00Z,1292,10.88435
11.04,11.07,11.04,36,11.05,2022-01-21T15:30:00Z,1430,11.043734
11.16,11.16,11.0,51,11.0,2022-01-21T15:35:00Z,1079,11.095607
11.03,11.12,11.03,13,11.12,2022-01-21T15:40:00Z,840,11.098095
11.3,11.3,11.17,25,11.17,2022-01-21T15:50:00Z,2076,11.234114
11.36,11.36,11.24,9,11.24,2022-01-21T15:55:00Z,527,11.271309
11.21,11.21,11.21,13,11.21,2022-01-21T16:00:00Z,452,11.210664
11.32,11.32,11.32,3,11.32,2022-01-21T16:20:00Z,115,11.323043
11.32,11.32,11.32,12,11.32,2022-01-21T16:25:00Z,700,11.320171
11.02,11.02,11.02,5,11.02,2022-01-21T16:35:00Z,218,10.989817
10.8,10.8,10.8,1,10.8,2022-01-21T16:55:00Z,100,10.8
10.9,10.9,10.9,11,10.9,2022-01-21T17:10:00Z,631,10.899746
10.83,10.9,10.83,33,10.9,2022-01-21T17:15:00Z,2296,10.89851
10.875,10.875,10.875,1,10.875,2022-01-21T17:20:00Z,100,10.875
10.99,11.07,10.87,103,10.87,2022-01-21T17:35:00Z,4635,10.916947
11.0,11.0,11.0,6,11.0,2022-01-21T17:40:00Z,604,11.0
11.02,11.02,11.02,1,11.02,2022-01-21T17:45:00Z,100,11.02
10.96,11.01,10.96,14,11.01,2022-01-21T17:50:00Z,845,10.986982
10.92,10.95,10.92,4,10.94,2022-01-21T17:55:00Z,334,10.938024
10.865,10.865,10.865,2,10.865,2022-01-21T18:00:00Z,110,10.865455
10.865,10.865,10.865,2,10.865,2022-01-21T18:15:00Z,200,10.865
10.85,10.865,10.85,13,10.865,2022-01-21T18:25:00Z,623,10.854816
10.98,10.98,10.85,96,10.85,2022-01-21T18:30:00Z,2046,10.910943
10.885,10.92,10.88,33,10.92,2022-01-21T18:35:00Z,1634,10.909048
10.91,10.91,10.91,1,10.91,2022-01-21T19:15:00Z,100,10.91
10.925,10.925,10.9,11,10.9,2022-01-21T19:25:00Z,824,10.908956
10.78,10.9,10.78,17,10.9,2022-01-21T19:30:00Z,4125,10.887473
10.9,10.91,10.83,95,10.83,2022-01-21T19:35:00Z,45085,10.833448
10.9,10.9,10.9,17,10.9,2022-01-21T19:40:00Z,678,10.895486
10.91,10.91,10.885,32,10.885,2022-01-21T19:45:00Z,545,10.908147
10.885,10.885,10.86,22,10.86,2022-01-21T19:50:00Z,1059,10.885968
10.9,10.9,10.885,7,10.885,2022-01-21T19:55:00Z,442,10.896459
10.96,10.96,10.9,78,10.9,2022-01-21T20:00:00Z,2945,10.936306
10.96,10.96,10.95,87,10.96,2022-01-21T20:05:00Z,2660,10.95421
11.01,11.05,10.975,52,10.975,2022-01-21T20:15:00Z,1573,11.013691
11.05,11.05,11.035,12,11.05,2022-01-21T20:20:00Z,704,11.047713
11.0,11.035,11.0,56,11.035,2022-01-21T20:25:00Z,2387,11.004002
11.06,11.11,11.04,89,11.05,2022-01-21T20:30:00Z,1865,11.064252
11.13,11.13,11.13,2,11.13,2022-01-21T20:35:00Z,101,11.13
