t,o,h,l,c,v,vw,percent_change,target
2022-01-18 00:00:00-05:00,34.94,35.11,34.59,34.73714285714286,6658391.285714285,34.77392827955665,,0
2022-01-19 00:00:00-05:00,34.73742857142857,34.77,33.550625,33.550625,8022130.983516484,34.20849479117064,-3.4157036519164463,-1
2022-01-20 00:00:00-05:00,33.55,33.56,32.31,32.3780829015544,13317267.495017936,33.048139670525686,-3.494844279191811,-1
2022-01-21 00:00:00-05:00,32.37818652849741,32.68,32.00423225806451,32.01181935483871,7621754.95833194,32.25034244276956,-1.1312082553785463,-1
2022-01-22 00:00:00-05:00,32.0038064516129,32.011483870967744,31.8816,31.9152,209221.03741935483,31.942984796774194,-0.3018240037147568,0
2022-01-23 00:00:00-05:00,31.881174193548386,31.914864516129033,31.758967741935486,31.81858064516129,373824.74322580645,31.820707429032254,-0.3027377388789887,0
2022-01-24 00:00:00-05:00,31.758541935483873,31.92,31.14,31.70095238095238,5793471.639631337,31.741371011344725,-0.3696841965412978,0
2022-01-25 00:00:00-05:00,31.666857142857143,32.32,31.15,32.228095238095236,10856312.785714285,31.771049795386904,1.6628612629934425,1
2022-01-26 00:00:00-05:00,32.175428571428576,32.88,31.6,31.825238095238095,7417249.5,32.17174089087302,-1.2500184695400263,-1
2022-01-27 00:00:00-05:00,31.825714285714287,32.3,31.07,31.29452380952381,5449240.642857143,31.625483480158728,-1.6675893645354822,-1
2022-01-28 00:00:00-05:00,31.294571428571427,32.08,30.72,32.00044529262086,8670171.18429662,31.508063836016067,2.2557348608136296,1
2022-01-29 00:00:00-05:00,32.00847328244274,32.014580152671755,31.806361323155215,31.850216284987276,15493631.083969466,31.942889566793895,-0.46945911614619806,0
2022-01-30 00:00:00-05:00,31.883893129770993,31.90832061068702,31.62315521628499,31.69998727735369,7832074.809160306,31.81408871183206,-0.4716734300620695,0
2022-01-31 00:00:00-05:00,31.75931297709924,32.44,31.48,32.279761904761905,12594194.494002182,32.02054167776869,1.8289427763348076,1
2022-02-01 00:00:00-05:00,32.36971428571429,32.51,31.82,32.3,12337386.714285715,32.315858553571424,0.06269592476488839,0
2022-02-02 00:00:00-05:00,32.3,32.62,32.18,32.25585365853659,3667728.6916376306,32.31373121515074,-0.13667597976287915,0
2022-02-03 00:00:00-05:00,32.25458536585366,32.35,31.566904761904762,31.566904761904762,4931511.308362369,31.931218104789732,-2.135887966026573,-1
2022-02-04 00:00:00-05:00,31.57485714285714,32.0,31.04,31.672417302798983,6913606.799345693,31.556688492678802,0.3342505123326234,0
2022-02-05 00:00:00-05:00,31.672442748091605,31.679745547073793,31.672442748091605,31.679745547073793,10417134.961832061,31.6760941475827,0.023137622255831047,0
2022-02-06 00:00:00-05:00,31.679770992366414,31.687073791348602,31.679770992366414,31.687073791348602,5389103.4503816785,31.683422391857505,0.02313226999857143,0
2022-02-07 00:00:00-05:00,31.687099236641224,31.97,31.63,31.773333333333333,6875574.002726281,31.726616588664726,0.27222312338692767,0
2022-02-08 00:00:00-05:00,31.728285714285715,32.182857142857145,31.54,31.92952380952381,7712826.857142857,31.745282533978177,0.4915772435705401,0
2022-02-09 00:00:00-05:00,31.781714285714287,32.84,31.7,31.91452380952381,8542412.142857142,32.000059871031745,-0.04697846447533349,0
2022-02-10 00:00:00-05:00,31.908,32.39,31.56,31.728809523809524,10003237.5,31.843350893353172,-0.5819115046888701,0
2022-02-11 00:00:00-05:00,31.756857142857143,32.29,31.42,31.89,17560306.15757906,31.870289304037172,0.5080256038901165,0
2022-02-12 00:00:00-05:00,31.89610687022901,31.95821882951654,31.75843511450382,31.89,31893155.358778626,31.895392711195925,0.0,0
2022-02-13 00:00:00-05:00,31.914427480916032,32.009516539440206,31.659503816793894,31.89,15582840.366412213,31.901877474554706,0.0,0
2022-02-14 00:00:00-05:00,31.932748091603056,32.03,31.24,31.65714285714286,10428661.902944382,31.658082826184415,-0.7301885947229247,0
2022-02-15 00:00:00-05:00,31.50857142857143,32.19,31.50857142857143,32.08833333333333,9116350.714285715,31.82216642609127,1.3620637785800138,1
2022-02-16 00:00:00-05:00,31.975714285714286,32.96,31.975714285714286,32.82556701030928,2735173.7275405005,32.43911816103134,2.2975131469670673,1
2022-02-17 00:00:00-05:00,32.825515463917526,33.4,32.77,33.245714285714286,8777562.84388807,33.05525256515914,1.279939125721885,1
2022-02-18 00:00:00-05:00,33.250571428571426,33.72,33.05283834586466,33.05283834586466,8968166.718984963,33.225338186798375,-0.5801527926037275,0
2022-02-19 00:00:00-05:00,33.07757518796992,33.07757518796992,32.960808270676694,32.960808270676694,393327.47368421056,33.06116266588346,-0.27843319906436514,0
2022-02-20 00:00:00-05:00,33.06945488721804,33.06945488721804,32.86877819548872,32.86877819548872,847882.4210526316,33.03752365836466,-0.27921061410938197,0
2022-02-21 00:00:00-05:00,33.06133458646616,33.06133458646616,32.77674812030075,32.77674812030075,1302437.3684210528,33.01388465084586,-0.2799923825601791,0
2022-02-22 00:00:00-05:00,33.05321428571428,33.05321428571428,32.03,32.75642857142857,5998614.589285715,32.739457325706844,-0.06199379144508077,0
2022-02-23 00:00:00-05:00,32.62571428571429,32.97,31.76452380952381,31.826190476190476,10450463.714285715,32.45708732068452,-2.8398642214905068,-1
2022-02-24 00:00:00-05:00,31.865714285714287,32.708333333333336,31.1,32.70285714285715,10779690.07142857,31.94856593998016,2.754544774444545,1
2022-02-25 00:00:00-05:00,32.565714285714286,33.36,32.56028571428572,33.19198473282443,11238913.851145038,33.04255682502196,1.4956723439502717,1
2022-02-26 00:00:00-05:00,33.19259541984733,33.19992366412214,33.01610687022901,33.01610687022901,15071255.816793893,33.10756148854962,-0.5298805239009718,0
2022-02-27 00:00:00-05:00,33.02038167938932,33.049694656488555,32.84022900763359,32.84022900763359,7685862.9618320605,32.9362784351145,-0.5327032144847199,0
2022-02-28 00:00:00-05:00,32.8481679389313,33.34,32.63,33.022380952380956,16253648.370229008,32.89444329446868,0.5546610064900204,0
2022-03-01 00:00:00-05:00,32.89971428571429,33.11,32.45,32.91880952380952,20336274.214285713,32.811841012648806,-0.3136400997880373,0
2022-03-02 00:00:00-05:00,32.757714285714286,34.22497487437186,32.66,34.22497487437186,12923606.773151472,33.308786141264356,3.967838963367165,1
2022-03-03 00:00:00-05:00,34.23386934673367,35.15,33.16,33.34619047619047,9470563.941134242,33.91788100481699,-2.5676699585817198,-1
2022-03-04 00:00:00-05:00,33.34457142857143,33.92,33.04,33.84681933842239,7384649.495092694,33.52983858374985,1.501307510941552,1
2022-03-05 00:00:00-05:00,33.912213740458014,33.948727735368955,33.68559796437659,33.68559796437659,9508156.213740459,33.903388346055976,-0.4763265122013527,0
2022-03-06 00:00:00-05:00,33.94885496183206,33.985368956743,33.52437659033079,33.52437659033079,4913311.877862595,33.90746284987277,-0.4786062406144542,0
2022-03-07 00:00:00-05:00,33.98549618320611,34.0,33.37,33.440714285714286,5695844.341875682,33.68870893857537,-0.2495566305045993,0
2022-03-08 00:00:00-05:00,33.44114285714286,33.49,33.32,33.45636363636363,5856939.597402598,33.42358044733045,0.04679729779586417,0
2022-03-09 00:00:00-05:00,33.4577990430622,34.11,32.945645933014355,32.981626794258375,1735390.3636363635,33.42367387910353,-1.4189732251393528,-1
2022-03-10 00:00:00-05:00,33.02454545454545,33.512836538461535,32.54,33.49495192307692,926177.1145104895,33.143489721516545,1.5563972390467695,1
2022-03-11 00:00:00-05:00,33.42807692307692,33.89,33.0,33.08509043927649,8795805.95878056,33.331187533589016,-1.2236515064768527,-1
2022-03-12 00:00:00-05:00,33.10984496124031,33.169173126614986,33.06031007751938,33.070206718346256,18697553.11627907,33.136426796511635,-0.044986187834528124,0
2022-03-13 00:00:00-05:00,33.16937984496124,33.22622739018088,33.03891472868217,33.05594315245478,9240320.96124031,33.191092168604655,-0.04313116640896064,0
2022-03-14 00:00:00-04:00,33.22643410852713,33.25,32.58,33.06261904761905,9904648.38815061,33.019229529565806,0.020195748563223148,0
2022-03-15 00:00:00-04:00,32.90942857142857,33.39,32.56,32.93119047619047,11189211.000000002,32.91254957018849,-0.39751409662763804,0
2022-03-16 00:00:00-04:00,32.928,33.26,32.27,33.06190476190476,11314755.42857143,32.99754939260912,0.39693155280493553,0
2022-03-17 00:00:00-04:00,33.03428571428571,33.81,32.96,33.65909090909091,8741625.032467533,33.36973938266594,1.8062666125463034,1
2022-03-18 00:00:00-04:00,33.662200956937795,33.87,33.4,33.716508951406645,4540263.564171123,33.63023762575201,0.17058702646133295,0
2022-03-19 00:00:00-04:00,33.70235294117647,33.716470588235296,33.64730179028133,33.705460358056264,4316972.132992327,33.68027759462915,-0.03276909055532906,0
2022-03-20 00:00:00-04:00,33.64710997442455,33.70542199488491,33.59205882352941,33.69441176470588,2767446.6905370844,33.63169987595908,-0.03277983220822955,0
2022-03-21 00:00:00-04:00,33.59186700767263,33.87,32.97,33.135,8136243.6512605045,33.35417033671802,-1.6602508707151742,-1
2022-03-22 00:00:00-04:00,33.104,33.62,33.053714285714285,33.20619047619048,12426651.214285715,33.175718047867065,0.21484978479093808,0
2022-03-23 00:00:00-04:00,33.11971428571429,33.25,32.62785714285714,32.62785714285714,10778541.642857144,32.908199965525796,-1.741643124489145,-1
2022-03-24 00:00:00-04:00,32.71342857142857,32.91214285714286,32.48,32.91214285714286,7584028.428571428,32.7234900171131,0.871297532783144,0
2022-03-25 00:00:00-04:00,32.803714285714285,33.57,32.803714285714285,33.53791348600509,8668319.299890948,33.205504688143705,1.9013366330427717,1
2022-03-26 00:00:00-04:00,33.53778625954198,33.53778625954198,33.50127226463104,33.50127226463104,14870793.160305344,33.519529262086515,-0.10925313344056775,0
2022-03-27 00:00:00-04:00,33.50114503816794,33.50114503816794,33.464631043257,33.464631043257,7381139.908396947,33.482888040712474,-0.10937262646207868,0
2022-03-28 00:00:00-04:00,33.46450381679389,33.90642857142857,33.07,33.90642857142857,8951188.774263905,33.56169717497993,1.3201924372048035,1
2022-03-29 00:00:00-04:00,33.90828571428571,35.42,33.90828571428571,34.90833333333333,16703323.714285715,34.586713606150795,2.95491092432254,1
2022-03-30 00:00:00-04:00,34.903999999999996,35.55,34.54,35.01166666666666,11029214.428571427,34.959857154761906,0.29601336834566006,0
2022-03-31 00:00:00-04:00,34.92057142857143,35.14,34.41,34.57666666666667,15915190.857142856,34.75821421602183,-1.2424429951920613,-1
2022-04-01 00:00:00-04:00,34.50942857142857,35.21,34.50942857142857,35.181870229007636,19121549.01199564,34.857657911990344,1.7503236161408475,1
2022-04-02 00:00:00-04:00,35.20488549618321,35.219491094147585,35.12690839694657,35.12690839694657,30013008.366412215,35.20529672837151,-0.15622203056092632,0
2022-04-03 00:00:00-04:00,35.21954198473283,35.234147582697204,35.071946564885494,35.071946564885494,14370994.076335877,35.211666071882945,-0.15646646565073974,0
2022-04-04 00:00:00-04:00,35.23419847328245,35.24,34.12,34.58452380952381,5771942.04525627,34.73773359157465,-1.3897795905337573,-1
2022-04-05 00:00:00-04:00,34.41285714285714,34.95,33.43,33.46928571428571,8528176.07142857,34.06369183407738,-3.2246738494372096,-1
2022-04-06 00:00:00-04:00,33.46885714285714,33.88,33.16,33.52095238095238,12505700.642857144,33.55399193973214,0.15437038934063008,0
2022-04-07 00:00:00-04:00,33.61485714285714,33.61485714285714,32.59,32.74666666666667,8490250.92857143,33.08367040352183,-2.3098559536324004,-1
2022-04-08 00:00:00-04:00,32.746,33.0,32.46,32.53153944020356,12132268.33478735,32.66669524625515,-0.65694389188653,0
2022-04-09 00:00:00-04:00,32.53022900763359,32.90545801526717,32.476653944020356,32.50589058524173,22351709.86259542,32.52778123409669,-0.07884304094792904,0
2022-04-10 00:00:00-04:00,32.50091603053435,33.18026717557252,32.42902035623409,32.4802417302799,11165561.221374044,32.5130881043257,-0.0789052522482625,0
2022-04-11 00:00:00-04:00,32.47160305343512,33.29,31.91,32.21333333333333,9303469.366957469,32.34590455123516,-0.8217561900031756,0
2022-04-12 00:00:00-04:00,32.214,32.71,32.08,32.19166666666666,13404796.5,32.248053280753965,-0.06725993377484363,0
2022-04-13 00:00:00-04:00,32.192,33.011904761904766,32.01,33.011904761904766,11403090.642857144,32.51422790749008,2.547982692947781,1
2022-04-14 00:00:00-04:00,32.91771428571429,33.22,32.71,32.79407821229051,11624885.262968875,32.91041625165159,-0.6598424149872995,0
2022-04-15 00:00:00-04:00,32.79391061452514,32.79391061452514,32.745810055865924,32.745810055865924,18091006.9273743,32.76986033519554,-0.14718558671514836,0
2022-04-16 00:00:00-04:00,32.74564245810056,32.74564245810056,32.69754189944134,32.69754189944134,11941721.02793296,32.721592178770955,-0.14740254201144332,0
2022-04-17 00:00:00-04:00,32.69737430167598,32.69737430167598,32.649273743016764,32.649273743016764,5792435.12849162,32.67332402234637,-0.14762013784712646,0
2022-04-18 00:00:00-04:00,32.6491061452514,32.99,32.36,32.6152380952381,5108068.081803671,32.65498011952564,-0.10424626301510642,0
