c,h,l,n,o,t,v,vw
23.05,23.05,23.05,5,23.05,2022-01-18T14:30:00Z,1269,23.05
23.05,23.05,23.05,1,23.05,2022-01-18T14:35:00Z,100,23.05
23.03,23.03,23.03,4,23.03,2022-01-18T14:40:00Z,417,23.03
23.04,23.04,23.04,2,23.04,2022-01-18T14:50:00Z,300,23.04
23.04,23.04,23.02,19,23.03,2022-01-18T14:55:00Z,2268,23.037937
23.04,23.06,23.04,3,23.06,2022-01-18T15:00:00Z,300,23.05
23.1,23.1,23.1,1,23.1,2022-01-18T15:15:00Z,317,23.1
23.06,23.06,23.06,2,23.06,2022-01-18T15:30:00Z,234,23.06
23.05,23.05,23.05,1,23.05,2022-01-18T16:10:00Z,995,23.05
23.01,23.01,23.01,2,23.01,2022-01-18T16:30:00Z,300,23.01
22.96,22.96,22.96,5,22.96,2022-01-18T18:10:00Z,900,22.96
22.99,22.99,22.99,19,22.99,2022-01-18T19:20:00Z,3695,22.99
23.03,23.03,23.03,1,23.03,2022-01-18T19:30:00Z,111,23.03
23.0,23.02,23.0,4,23.02,2022-01-18T20:30:00Z,936,23.017671
23.01,23.01,23.01,1,23.01,2022-01-18T20:40:00Z,793,23.01
23.1,23.1,23.1,4,23.1,2022-01-19T14:35:00Z,400,23.1
23.11,23.11,23.11,1,23.11,2022-01-19T14:40:00Z,2219,23.11
23.14,23.14,23.14,1,23.14,2022-01-19T14:50:00Z,805,23.14
23.12,23.12,23.12,1,23.12,2022-01-19T15:00:00Z,100,23.12
23.11,23.11,23.11,1,23.11,2022-01-19T15:35:00Z,100,23.11
23.04,23.04,23.04,1,23.04,2022-01-19T15:45:00Z,250,23.04
23.06,23.06,23.05,3,23.05,2022-01-19T16:50:00Z,300,23.05
23.08,23.09,23.07,19,23.09,2022-01-19T17:00:00Z,3100,23.07
23.09,23.09,23.09,2,23.09,2022-01-19T17:30:00Z,300,23.09
23.01,23.01,23.0,4,23.0,2022-01-19T19:25:00Z,530,23.0
23.01,23.01,23.01,1,23.01,2022-01-19T19:35:00Z,173,23.01
23.02,23.02,23.0,6,23.0,2022-01-19T20:05:00Z,1200,23.01
22.95,22.95,22.95,2,22.95,2022-01-19T20:55:00Z,200,22.95
23.06,23.06,23.04,3,23.04,2022-01-20T14:30:00Z,1290,23.052558
23.05,23.05,23.04,2,23.04,2022-01-20T14:35:00Z,200,23.05
23.04,23.04,23.03,6,23.03,2022-01-20T14:40:00Z,600,23.035
23.07,23.07,23.07,2,23.07,2022-01-20T15:00:00Z,244,23.07
23.15,23.15,23.15,1,23.15,2022-01-20T16:00:00Z,228,23.15
23.12,23.13,23.12,3,23.13,2022-01-20T17:45:00Z,488,23.122254
23.14,23.14,23.14,1,23.14,2022-01-20T17:50:00Z,240,23.14
23.11,23.11,23.11,1,23.11,2022-01-20T18:35:00Z,576,23.11
23.06,23.06,23.02,5,23.06,2022-01-20T19:25:00Z,1108,23.053818
23.02,23.02,23.02,2,23.02,2022-01-20T19:40:00Z,126,23.02
22.9,22.9,22.9,3,22.9,2022-01-20T20:45:00Z,510,22.9
22.86,22.86,22.86,2,22.86,2022-01-20T20:55:00Z,130,22.86
22.85,22.85,22.85,2,22.85,2022-01-20T21:00:00Z,400,22.85
22.83,22.83,22.83,2,22.83,2022-01-21T14:30:00Z,8648,22.83
22.8,22.8,22.8,2,22.8,2022-01-21T14:35:00Z,200,22.8
22.78,22.78,22.78,2,22.78,2022-01-21T14:40:00Z,230,22.78
